,fit_time,score_time,test_f1,train_f1,test_accuracy,train_accuracy,test_recall,train_recall,test_precision,train_precision,test_roc_auc,train_roc_auc
0,0.029921293258666992,0.4528224468231201,0.0,0.03773584905660377,0.9461077844311377,0.9489744872436218,0.0,0.019417475728155338,0.0,0.6666666666666666,0.48846153846153845,0.9295169186022695
1,0.02892446517944336,0.44879865646362305,0.0,0.0,0.948,0.9485,0.0,0.0,0.0,0.0,0.5144839337877313,0.9222507689709352
2,0.029972076416015625,0.4642300605773926,0.0,0.0,0.944,0.9475,0.0,0.0,0.0,0.0,0.5141999350860109,0.9214856364929808
3,0.02897167205810547,0.474196195602417,0.0,0.019047619047619046,0.946,0.9485,0.0,0.009708737864077669,0.0,0.5,0.5167153521583902,0.9271435224754467
4,0.02942657470703125,0.4304051399230957,0.0,0.037037037037037035,0.9478957915831663,0.9480259870064968,0.0,0.019230769230769232,0.0,0.5,0.49565400843881857,0.9177902355946637
0,0.018949031829833984,0.027925491333007812,0.10966057441253263,0.12267401791867678,0.3193612774451098,0.3631815907953977,0.8076923076923077,0.8640776699029126,0.058823529411764705,0.06602373887240356,0.5834412955465588,0.706502703699152
1,0.018949031829833984,0.026928424835205078,0.10031347962382445,0.13556740289413555,0.426,0.4325,0.6153846153846154,0.8640776699029126,0.05460750853242321,0.07355371900826446,0.49452288218111,0.7227328792011913
2,0.01894974708557129,0.025928974151611328,0.09770114942528736,0.127750177430802,0.372,0.3855,0.6538461538461539,0.8737864077669902,0.052795031055900624,0.06891271056661562,0.5230444660824408,0.6954644789166338
3,0.01892232894897461,0.025957822799682617,0.07228915662650603,0.13303437967115095,0.384,0.42,0.46153846153846156,0.8640776699029126,0.0392156862745098,0.07206477732793522,0.4400762739370334,0.7104933185254183
4,0.017978668212890625,0.025902271270751953,0.09090909090909091,0.13476263399693722,0.39879759519038077,0.4352823588205897,0.6,0.8461538461538461,0.04918032786885246,0.07321131447587355,0.4788185654008439,0.709635152670208
0,0.31621432304382324,0.009983539581298828,0.04166666666666667,0.7455621301775148,0.908183632734531,0.9784892446223111,0.038461538461538464,0.6116504854368932,0.045454545454545456,0.9545454545454546,0.49959514170040487,0.9026156241038876
1,0.31213855743408203,0.014009237289428711,0.08695652173913043,0.8491620111731844,0.916,0.9865,0.07692307692307693,0.7378640776699029,0.1,1.0,0.5910418695228822,0.9484034576822883
2,0.297177791595459,0.009973764419555664,0.11111111111111112,0.97,0.904,0.997,0.11538461538461539,0.941747572815534,0.10714285714285714,1.0,0.5139970788704966,0.9956855740540761
3,0.31366586685180664,0.010972738265991211,0.03773584905660377,0.8864864864864864,0.898,0.9895,0.038461538461538464,0.7961165048543689,0.037037037037037035,1.0,0.4610516066212268,0.9833257417178887
4,0.3213224411010742,0.009973764419555664,0.09523809523809526,0.8,0.9238476953907816,0.9825087456271864,0.08,0.6730769230769231,0.11764705882352941,0.9859154929577465,0.6713080168776372,0.9422772799156562
0,3.563807964324951,0.3246603012084961,0.0,0.3114754098360656,0.9481037924151696,0.9579789894947474,0.0,0.18446601941747573,0.0,1.0,0.6413765182186235,0.9999743967883331
1,3.637685537338257,0.3071887493133545,0.0,0.35200000000000004,0.948,0.9595,0.0,0.21359223300970873,0.0,1.0,0.5908795845504706,0.9999897641140073
2,3.557041645050049,0.3091747760772705,0.0,0.2833333333333334,0.948,0.957,0.0,0.1650485436893204,0.0,1.0,0.5355404089581305,0.9999385846840438
3,3.487046718597412,0.31321239471435547,0.0,0.2833333333333334,0.948,0.957,0.0,0.1650485436893204,0.0,1.0,0.46567672833495627,0.9999795282280146
4,3.5327486991882324,0.29720425605773926,0.0,0.30894308943089427,0.9498997995991983,0.9575212393803099,0.0,0.18269230769230768,0.0,1.0,0.48565400843881856,0.999939175215928
